titre,date,presentateurs,chaines,description,slug,catégiorie,exclu play,,,,,,,,,,,,,,
VERHAEGEN & ROBOCOP : Unité pas très spéciale,Le 23 septembre,Pablo Andres,play,"La toute première série en un seul épisode débarque sur RTL play ! L'agent Verhaegen se trouve, pour la première fois de sa carrière, confronté à l'intelligence... artificielle. Dans un commissariat typiquement bruxellois, l'arrivée d'un prototype de robot policier bouleverse la routine. Le commissaire Verschueren confie à l'agent Verhaegen la mission de présenter ce nouveau membre atypique à ses collègues. Comment ce ""Robocop"" ultra performant sera-t-il accueilli au sein de cette ""unité pas très spéciale"" ? Découvrez-le dans cet épisode unique rempli d'évasions pas si spectaculaires, de farniente administrative et de dégustation de tartines au gouda, une comédie d'inaction policière 100 % belge ! ",,humour,v,,,,,,,,,,,,,,
"Véronique Gallo : ""Femme de Vie""",,Véronique Gallo,"tvi,play","Après le succès de “Vie de mère” et plus de 300 dates de tournée, la comédienne et humoriste belge revient avec un nouveau spectacle “Femme de Vie”. 

Véronique Gallo décortique avec humour et émotion, la quarantaine au féminin ! La charge mentale, les enfants qui grandissent, les parents qui vieillissent, la peau qui se relâche, les bouffées de chaleur, la perfection qu’on s’impose, la pression d’être en couple, l’image que l’on a de soi, les injections au Botox… 

Sans complexe, Véronique Gallo nous interroge… Et si la Nature apportait une réponse aux questions incessantes que l’on se pose ? ",gallo,humour,,,,,,,,,,,,,,,
Cache Cash,,Jean-Michel Zecca,"tvi,play","Tic Tac, Tic Tac... Une famille a 30 minutes pour mettre la main sur les 100.000 € cachés dans leur maison. Pour y parvenir, ils devront garder leur sang-froid, faire confiance à leur intuition et fouiller chaque recoin, car nos experts de la cachette ne manquent pas de ressources ! Soledad, la policière spécialiste des perquisitions, Michel, le décorateur aux inventions délirantes, et Javier, l'ouvrier créatif en construction, ont tout mis en œuvre avant le tournage pour leur rendre la tâche ardue. Avec Jean-Michel Zecca, ils vont corser l'épreuve et faire suer la famille.  

Unis dans une même mission, les membres d’une famille feront-ils main basse sur une fortune cachée sous leurs yeux ? Sont-ils certains qu’aucun billet n’ait été laissé à l’intérieur d’une semelle de chaussure, derrière un papier-peint ou encore au fond d’un paquet de poudre à lessiver ? ",cachecash,evenementielles,,,,,,,,,,,,,,,
Donovan Incognito,,Donovan,"tvi,play","Après le succès du premier rendez-vous, où il a surpris tout le monde, Donovan le Magicien est de retour, incognito dans vos lieux préférés, pour vous étonner encore de plus ! Imaginez Donovan le Magicien sous les traits d’un mécanicien, d’un caissier, d’un animateur de marché, d’un cuisinier, et bien plus encore. Filmée en caméra cachée, cette émission 100% inédite montre un Donovan surmotivé et prêt à tout pour vous épater. Il vendra même un sac à dos multifonctions improbable pour vos randonnées, contenant tous les accessoires nécessaires pour dormir, manger, se réchauffer et se changer. En réparateur de téléphone excentrique, il testera la solidité d'un nouveau film anti-choc invisible sur votre appareil, qui résiste à tout… sauf à tout. ",donovan,evenementielles,,,,,,,,,,,,,,,
Les orages de la vie,,Christophe Dechavanne,"tvi,play","Christophe Dechavanne rencontre des personnalités et des anonymes dont la vie a basculé du jour au lendemain. À travers des entretiens sincères et sans filtre, chacun partage ses joies, ses peines et ses moments charnières. Pour ce nouvel épisode, Lorie raconte son combat contre l’endométriose et son expérience après l’ablation de son utérus. Nous retrouvons également Riton Liebman. Star à 13 ans, entouré du tandem Depardieu-Dewaere sur “Préparez vos mouchoirs”, le Bruxellois a connu l’ivresse et le poison de la célébrité. De retour au théâtre, il se livre et raconte l’histoire d’une véritable descente aux enfers.",orages,evenementielles,,,,,,,,,,,,,,,
112 Hélico d'urgence,,Michaël Miraglia,"tvi,play","Accidents sur la route, à domicile ou dans des lieux publics, chacun peut un jour avoir besoin d'une intervention rapide des secours. Michaël Miraglia vous fait découvrir le quotidien intense des membres du Centre Médical Héliporté et de Mike, leur hélicoptère, opérant dans les vastes territoires des provinces de Liège et de Luxembourg. Suivez des missions toujours plus périlleuses et spectaculaires où la rapidité et l'efficacité des secours peuvent faire la différence et sauver des vies. ",112,evenementielles,,,,,,,,,,,,,,,
Flagrants Délits,,,"tvi,play","Partez en immersion dans l’univers de la protection de l’environnement. Chaque jour, des citoyens sont confrontés à des problèmes de pollution sonore et sanitaire, de dégradations et d'incivilités. Notre biodiversité n’a jamais été aussi menacée. Dans nos forêts, nos campagnes et même en ville, des agents de l’environnement veillent, interviennent et traquent sans relâche les pollueurs ou les braconniers pour préserver la nature des excès en tout genre.",,evenementielles,,,,,,,,,,,,,,,
Vu à la télé,,,"tvi,play","Pour sa 19e saison, ""Vu à la Télé"" revient avec un look renouvelé et deux nouveaux canapés de téléspectateurs. Leurs opinions tranchées et truculentes apporteront un éclairage plein d'humour et d'émotion sur les programmes de cet automne.   ",valtv,evenementielles,,,,,,,,,,,,,,,
En route avec la police fédérale,,Emilie Dupuis,"tvi,play","Gyrophares, sirènes, voitures bleues et blanches filant à toute allure sur les routes de Bruxelles et de Wallonie : Emilie Dupuis vous embarque à nouveau dans les véhicules de la police pour partager le quotidien et la réalité des forces de l’ordre. Découvrez des missions et des interventions essentielles, parfois étonnantes ou musclées. Avec l'augmentation annuelle du nombre de véhicules sur les routes, Emilie part à la rencontre des conducteurs belges pour recueillir leurs émotions, leur colère, mais aussi leurs rires et leurs histoires. ",police,evenementielles,,,,,,,,,,,,,,,
Expédition Pairi Daiza,,Ludovic Daxhelet,"tvi,play","Pour cette 10ème saison d'Expédition Pairi Daiza, Ludovic Daxhelet part explorer le plus beau parc animalier d’Europe ! Accompagné de soigneurs et autres acteurs de terrain, Ludo nous fait découvrir de nombreuses espèces et, à travers son enthousiasme communicatif et sa curiosité, il nous permet d’en apprendre toujours plus sur les animaux mais aussi sur le travail de soigneur, la conservation des espèces ou encore le patrimoine, l'histoire et l’architecture.  

Cette année est également spéciale pour Pairi Daiza, qui célèbre ses 30 ans d'existence depuis son ouverture le 11 mai 1994. Pour marquer cet anniversaire, Expédition Pairi Daiza vous offre un voyage dans le temps, retraçant l'évolution spectaculaire du parc au fil des décennies. ",pairidaiza,evenementielles,,,,,,,,,,,,,,,
